                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0399,                0.89842,                 1.5684,                0.96131,                0.97222,                0.99006,                0.66784,                 1.0868,                0.77409,                 1.9754,              0.0003466,              0.0003466,              0.0003466
                     36,                 1.0322,                0.86344,                 1.5354,                0.97194,                0.90278,                 0.9855,                0.65581,                 1.1297,                0.82951,                 2.0151,              0.0003268,              0.0003268,              0.0003268
                     37,                 1.0574,                0.87485,                 1.5446,                0.97059,                 0.9167,                0.98958,                 0.6585,                 1.1382,                0.83025,                 2.0407,               0.000307,               0.000307,               0.000307
                     38,                 1.0276,                0.86638,                 1.5357,                0.98599,                0.97772,                0.99459,                0.66578,                 1.1341,                0.81605,                 2.0563,              0.0002872,              0.0002872,              0.0002872
                     39,                 1.1095,                0.90687,                 1.5765,                0.95976,                0.99372,                0.99249,                0.65523,                 1.1657,                0.78838,                 2.1172,              0.0002674,              0.0002674,              0.0002674
                     40,                 1.0175,                0.85603,                 1.4816,                0.96982,                0.97222,                0.98925,                 0.6444,                 1.2247,                0.77168,                 2.2612,              0.0002476,              0.0002476,              0.0002476
                     41,                0.87373,                 1.1002,                 1.6148,                 0.9721,                0.96806,                0.98733,                0.62575,                 1.2401,                0.77802,                  2.273,              0.0002278,              0.0002278,              0.0002278
                     42,                0.82759,                 1.0608,                 1.6007,                0.98626,                0.99702,                0.99486,                0.60566,                 1.3195,                0.77254,                 2.3853,               0.000208,               0.000208,               0.000208
                     43,                0.83799,                0.99356,                 1.5894,                0.98517,                      1,                0.99486,                0.60948,                 1.3412,                 0.7586,                 2.4171,              0.0001882,              0.0001882,              0.0001882
                     44,                0.77238,                0.89627,                  1.502,                      1,                0.99869,                  0.995,                0.66484,                 1.1969,                0.72719,                  2.214,              0.0001684,              0.0001684,              0.0001684
                     45,                0.84656,                0.87449,                 1.5588,                0.99856,                      1,                  0.995,                0.68565,                 1.1402,                0.71253,                 2.1336,              0.0001486,              0.0001486,              0.0001486
                     46,                0.77148,                 0.8125,                 1.4882,                0.99841,                      1,                  0.995,                0.69228,                 1.0932,                0.70707,                 2.0573,              0.0001288,              0.0001288,              0.0001288
                     47,                0.80777,                 0.7793,                  1.557,                0.99845,                      1,                  0.995,                 0.7035,                 1.0723,                0.70331,                 2.0231,               0.000109,               0.000109,               0.000109
                     48,                0.66304,                0.75871,                 1.4819,                0.99792,                      1,                  0.995,                0.70348,                 1.0766,                0.69752,                 2.0336,               8.92e-05,               8.92e-05,               8.92e-05
                     49,                 0.7592,                0.76077,                 1.5896,                 0.9968,                      1,                  0.995,                0.70268,                  1.088,                0.70141,                 2.0543,               6.94e-05,               6.94e-05,               6.94e-05
                     50,                0.80621,                0.76262,                 1.5633,                0.99691,                      1,                  0.995,                0.70046,                 1.0977,                0.70045,                 2.0768,               4.96e-05,               4.96e-05,               4.96e-05
